Theme,Theme,Максимум JaccardIndex,Main theme
Batman,Ninjago,0.6454456415279138,Super Heroes
Ninjago,Batman,0.6454456415279138,
Star Wars Clone Wars,Star Wars Episode 3,0.6086330935251798,Star Wars
Star Wars Episode 3,Star Wars Clone Wars,0.6086330935251798,Star Wars
Star Wars Clone Wars,Star Wars Episode 4/5/6,0.6027742749054225,Star Wars
Star Wars Episode 4/5/6,Star Wars Clone Wars,0.6027742749054225,Ultimate Collector Series
Star Wars Clone Wars,Star Wars Episode 1,0.6002728512960437,Star Wars
Star Wars Episode 1,Star Wars Clone Wars,0.6002728512960437,Star Wars
Star Wars Rogue One,Star Wars Rebels,0.5969289827255279,Star Wars
Star Wars Episode 4/5/6,Star Wars Clone Wars,0.5957918050941307,Star Wars
Star Wars,Star Wars Episode 4/5/6,0.5883554647599591,
Star Wars Episode 4/5/6,Star Wars,0.5883554647599591,Star Wars
Star Wars Episode 4/5/6,Star Wars Episode 4/5/6,0.5863539445628998,Star Wars
Star Wars Episode 4/5/6,Star Wars Episode 4/5/6,0.5863539445628998,Ultimate Collector Series
Star Wars Episode 1,Star Wars Episode 2,0.5852941176470589,Star Wars
Star Wars Episode 2,Star Wars Episode 1,0.5852941176470589,Star Wars
Star Wars Clone Wars,Star Wars Episode 2,0.5834502103786816,Star Wars
Star Wars Episode 2,Star Wars Clone Wars,0.5834502103786816,Star Wars
Star Wars,Star Wars Clone Wars,0.5834319526627219,
Star Wars Clone Wars,Star Wars,0.5834319526627219,Star Wars
Star Wars Episode 1,Star Wars Episode 4/5/6,0.582360570687419,Star Wars
Star Wars Episode 4/5/6,Star Wars Episode 1,0.582360570687419,Ultimate Collector Series
Star Wars Episode 7,Star Wars Rogue One,0.5781584582441114,Star Wars
Ninjago,Star Wars,0.5775775775775776,
Star Wars,Ninjago,0.5775775775775776,
Batman,Star Wars,0.5764944275582573,Super Heroes
Star Wars,Batman,0.5764944275582573,
Star Wars Episode 2,Star Wars Episode 3,0.5714285714285714,Star Wars
Star Wars Episode 3,Star Wars Episode 2,0.5714285714285714,Star Wars
Star Wars Episode 1,Star Wars Episode 3,0.566813509544787,Star Wars
Star Wars Episode 3,Star Wars Episode 1,0.566813509544787,Star Wars
Star Wars Episode 4/5/6,Star Wars,0.5632054176072234,Ultimate Collector Series
Batman,Star Wars Episode 4/5/6,0.5577464788732395,Super Heroes
Star Wars Episode 4/5/6,Batman,0.5577464788732395,Star Wars
Ninjago,Star Wars Episode 4/5/6,0.5575139146567718,
Star Wars Episode 4/5/6,Ninjago,0.5575139146567718,Star Wars
Ninjago,Star Wars Clone Wars,0.5553191489361702,
Star Wars Clone Wars,Ninjago,0.5553191489361702,Star Wars
Avengers,Star Wars Rebels,0.5551839464882943,Super Heroes
Star Wars Rebels,Avengers,0.5551839464882943,Star Wars
Star Wars Episode 7,Star Wars Rebels,0.5501930501930502,Star Wars
Star Wars Episode 4/5/6,Star Wars Episode 1,0.5496098104793757,Star Wars
Star Wars Episode 2,Star Wars Episode 4/5/6,0.5473684210526316,Star Wars
Star Wars Episode 4/5/6,Star Wars Episode 2,0.5473684210526316,Ultimate Collector Series
Star Wars Episode 3,Star Wars Episode 4/5/6,0.543046357615894,Star Wars
Star Wars Episode 4/5/6,Star Wars Episode 3,0.543046357615894,Ultimate Collector Series
Avengers,Teenage Mutant Ninja Turtles,0.5426229508196722,Super Heroes
Teenage Mutant Ninja Turtles,Avengers,0.5426229508196722,
Teenage Mutant Ninja Turtles,The LEGO Movie,0.5424242424242425,
